parish,county,from_year,to_year,comments,district,source_url
Abbotsbury,Dorset,1837,1997,"See Table 2, notes (c), (d) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Alton Pancras,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Athelhampton,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Bincombe,Dorset,1837,1997,"See Table 2, note (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Bradford Peverell,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Broadmayne,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Broadway,Dorset,1837,1933,"Abolished 1.4.1933 and divided between the parishes of Weymouth 
    and Bincombe.",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Buckland Newton,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Buckland Ripers,Dorset,1837,1894,Abolished 1894 and added to the parish of Radipole.,Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Burleston,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Cattistock,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Cerne Abbas,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Charminster,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Cheselbourne,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Chickerell,Dorset,1837,1997,"See Table 2, note (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Chilfrome,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
Compton Valence,Dorset,1949,1997,"See Table 2, notes (e) and (f).",Weymouth (to 1958),http://www.ukbmd.org.uk/reg/districts/weymouth.html
