parish,county,from_year,to_year,comments,district,source_url
Aikton,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Allhallows,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Allonby,Cumberland,1894,1974,Created 1894 out of the parish of West Newton & Allonby.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Aspatria,Cumberland,1934,1974,"Created 1.4.1934 out of the parishes of Aspatria & Braxton and 
    Oughterside & Allerby.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Aspatria & Brayton,Cumberland,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Aspatria, 
    Oughterside & Allerby and Hayton & Mealo.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bewaldeth & Snittlegarth,Cumberland,1934,1939,"That part which until 1.4.1934 formed part of the parish of 
    Torpenhow & Whittigg. See also Table 2, note (b).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Blencogo,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Bromfield.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Blennerhasset & Kirkland,Cumberland,1837,1934,"Abolished 1.4.1934 and added to the parish of Blennerhasset 
    & Torpenhow.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Blennerhasset & Torpenhow,Cumberland,1934,1974,"Created 1.4.1934 out of the parishes of Blennerhasset & Kirkland 
    torpenhow & Whitrigg.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bolton High,Cumberland,1837,1887,Abolished 24.3.1887 and added to the parish of Boltons.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bolton Low,Cumberland,1837,1887,Abolished 24.3.1887 and added to the parish of Boltons.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Boltons,Cumberland,1887,1974,"Created 24.3.1887 out of the parishes of Bolton Low and Bolton 
    High.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bothel & Threapland,Cumberland,1939,1974,"See Table 2, note (b).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bowness,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Bromfield,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Caldbeck,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Dundraw,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Gilcrux,Cumberland,1939,1974,"See Table 2, note (b).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Hayton & Mealo,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
High Ireby,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Ireby.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Holme Abbey,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Holme East Waver,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Holme Low,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Holme St. Cuthbert,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Ireby,Cumberland,1934,1974,"Created 1.4.1934 out of the parishes of Low Ireby, Uldale and 
    High Ireby.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Kirkbampton,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Kirkbride,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Langrigg & Mealrigg,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Bromfield.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Low Ireby,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Ireby.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Oughterside & Allerby,Cumberland,1939,1974,"See Table 2, note (b).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Oulton,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Woodside.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Plumbland,Cumberland,1939,1974,"See Table 2, note (b).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Sebergham,Cumberland,1837,1974,"See Table 2, notes (c) and (d).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Silloth,Cumberland,1934,1974,"Created 1.4.1934 out of the parishes of Holme Low and Skinburness 
    Marsh.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Thursby,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Torpenhow & Whitrigg,Cumberland,1837,1934,"Abolished 1.4.1934 and added to the parish of Blennerhasset 
    & Torpenhow and Bewaldeth & Snittlegarth. See also Table 2, note 
    (a).",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Uldale,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Ireby.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Waverton,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
West Newton & Allonby,Cumberland,1837,1894,"Abolished 1894 to become the separate parishes of West Newton 
    and Allonby.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Westnewton,Cumberland,1894,1974,Created 1894 out of the parish of West Newton & Allonby.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Westward,Cumberland,1837,1974,,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Wigton,Cumberland,1837,1887,"Abolished 24.3.1887 and added to the parish of Wigton cum 
    Woodside.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Wigton,Cumberland,1894,1974,Created 1894 out of the parish of Wigton cum Woodside.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Wigton cum Woodside,Cumberland,1887,1894,"Created 24.3.1887 out of the parishes of Wigton, Woodside Quarter and Waverton. Abolished 1894 to become the separate parishes of Wigton and Woodside.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Woodside,Cumberland,1894,1974,Created 1894 out of the parish of Wigton cum Woodside.,Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
Woodside Quarter,Cumberland,1837,1887,"Abolished 24.3.1887 and added to the parish of Wigton cum 
    Woodside.",Wigton,http://www.ukbmd.org.uk/reg/districts/wigton.html
