parish,county,from_year,to_year,comments,district,source_url
Barford St. Martin,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Baverstock,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Dinton.,Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Bemerton,Wiltshire,1894,1934,"Created 30.9.1894 from the rural part of the parish of Fugglestone 
    St. Peter. Abolished 1.4.1934 and divided between the parishes of Quidhampton 
    and Wilton. See also Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Berwick St. James,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Bishopstone,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Bower Chalke,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Broad Chalke,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Burcombe,Wiltshire,1837,1894,"Abolished 30.9.1894 and divided between the parishes of Wilton 
    and Burcombe Without.",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Burcombe Without,Wiltshire,1894,1936,"Created 30.9.1894 from the rural part of the parish of Burcombe. 
    See also Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Compton Chamberlayne,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Dinton,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Ebbesborne Wake,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Fifield Bavant,Wiltshire,1837,1894,Abolished 1894 and added to the parish of Ebbesborne Wake.,Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Fisherton de la Mere,Wiltshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Wylye and 
    Stockton. See also Table 2, note (c).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Fovant,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Fugglestone St. Peter,Wiltshire,1837,1894,"Abolished 30.9.1894 and divided between the parishes of Bemerton 
    and Wilton.",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Great Wishford,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Groveley Wood,Wiltshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Barford St. 
    Martin.",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Little Langford,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Steeple Langford.,Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Netherhampton,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Quidhampton,Wiltshire,1934,1936,"Created 1.4.1934 out of the parish of Bemerton. See also Table 
    2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
South Newton,Wiltshire,1837,1894,"Abolished 30.9.1894 and divided between the parishes of Wilton 
    and South Newton Without. See also Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
South Newton Without,Wiltshire,1894,1936,Created 30.9.1894 from the rural part of the parish of South Newton.,Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Stapleford,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Steeple Langford,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Stockton,Wiltshire,1934,1936,"That part which until 1.4.1934 formed part of the parish of Fisherton de la Mere. 
    See also Table 2, note (c).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Wilton,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
Wylve,Wiltshire,1837,1936,"See Table 2, note (b).",Wilton,http://www.ukbmd.org.uk/reg/districts/wilton.html
