parish,county,from_year,to_year,comments,district,source_url
Arrowe,Cheshire,1837,1933,"Abolished 1.4.1933 and divided between the parishes of Birkenhead 
    and Irby. See also Table 2, note (f).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Barnston,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Bebington cum Bromborough,Cheshire,1922,1974,"Created 1.4.1922 from the parishes of Lower Bebington, Bromborough and Higher Bebington. Abolished 1.4.1974 and added to the Wirral 
    unparished 
    area. See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Bidston cum Ford,Cheshire,1837,1861,"See Table 2, note (a).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Birkenhead,Cheshire,1837,1861,"See Table 2, note (a).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Birkenhead,Cheshire,1898,1898,"That part which until 31.3.1898 formed the parish of Rock 
    Ferry and part of the parish of Lower Bebington. See also Table 2, note (b).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Brimstage,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished 
    area. See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Bromborough,Cheshire,1837,1922,"Abolished 1.4.1922 and added to the parish of Bebington cum 
    Bromborough.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Burton,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Ellesmere Port 
    unparished area. 
    See also Table 2, note (i).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Caldy,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Childer Thornton,Cheshire,1837,1937,"See Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Claughton with Grange,Cheshire,1837,1861,"See Table 2, note (a).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Eastham,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished 
    area. See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Ellesmere Port,Cheshire,1911,1937,"Created 1.4.1911 from the parishes of Whitby, Overpool and Netherpool. 
    See also Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Frankby,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Gayton,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Grange,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Greasby,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Great Meolse,Cheshire,1837,1894,"Abolished 1894 and added to the parish of Hoylake cum West 
    Kirby.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Great Neston,Cheshire,1837,1894,"Abolished 30.9.1894 and added to the parish of Neston cum 
    Parkgate.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Great Sutton,Cheshire,1837,1937,"See Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Heswall cum Oldfield,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Higher Bebington,Cheshire,1837,1922,"Abolished 1.4.1922 and added to the parish of Bebington cum 
    Bromborough. See also Table 2, note (b).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Hoose,Cheshire,1837,1894,"Abolished 1894 and added to the parish of Hoylake cum West 
    Kirby.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Hooton,Cheshire,1837,1937,"See Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Hoylake cum West Kirby,Cheshire,1894,1974,"Created 1894 out of the parishes of West Kirby, Little Meolse, 
    Hoose, Great Meolse and Grange. Abolished 1.4.1974 and added to the 
    Wirral unparished area. See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Irby,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Wirral unparished area. 
    See also Table 2, note (h).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Landican,Cheshire,1837,1933,"Abolished 1.4.1933 and added to the parish of Birkenhead. 
    See also Table 2, note (f).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Ledsham,Cheshire,1837,1937,"See Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Leighton,Cheshire,1837,1894,"Abolished 30.9.1894 and added to the parish of Neston cum 
    Parkgate.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Liscard,Cheshire,1837,1861,"See Table 2, note (a).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Little Meolse,Cheshire,1837,1894,"Abolished 1894 and added to the parish of Hoylake cum West 
    Kirby.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Little Neston,Cheshire,1837,1894,"Abolished 30.9.1894 and added to the parish of Neston cum 
    Parkgate.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Little Sutton,Cheshire,1837,1937,"See Table 2, note (g).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Lower Bebington,Cheshire,1837,1922,"Abolished 1.4.1922 and added to the parish of Bebington cum 
    Bromborough.",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Moreton,Cheshire,1837,1928,"Abolished 1.4.1928 and added to the parish of Wallasey. See 
    also Table 2, note (d).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
Ness,Cheshire,1837,1974,"Abolished 1.4.1974 and added to the Ellesmere Port 
    unparished area. 
    See also Table 2, note (i).",Wirral (1837-1974),http://www.ukbmd.org.uk/reg/districts/wirral.html
