parish,county,from_year,to_year,comments,district,source_url
Central Wingland,Parts of Holland,1897,1897,"That part which until 30.9.1897 formed parts of the parishes of Terrington St. Clement, 
    Walpole St. Andrew and Walpole St. Peter. See also Table 2, note (d).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Clenchwarton,Norfolk,1837,1938,"See Table 2, notes (c) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Denver,Norfolk,1935,1938,"That part which until 1.4.1935 formed part of the parish of 
    Upwell. See also Table 2, note (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Elm,Cambridgeshire,1837,1889,"See Table 2, note (k).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Emneth,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Leverington,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
March,Isle of Ely,1933,1938,"That part which until 1.4.1933 formed part of the parish of Wisbech St. Peter. 
    See also Table 2, note (j).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Marshland St. James,Norfolk,1935,1938,"Created 1.4.1935 out of the parishes of Walpole St. Peter, West 
    Walton, Walsoken, Terrington St. Clement, Emneth, Terrington St. John, Walpole 
    St. Andrew, Tilney St. Lawrence, Tilney All Saints, Clenchwarton, Tilney with 
    Islington and Outwell. See also Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Newton,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Nordelph,Norfolk,1930,1938,"That part which until 1.10.1930 formed part of the parishes of 
    Outwell and Upwell. See also Table 2, note (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Outwell,Isle of Ely,1889,1965,"Created 1.4.1889 from the Cambridgeshire part of the parish of 
    Outwell.",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Outwell,Cambridgeshire,1837,1889,"In 1889 the Cambridgeshire part of the parish of Outwell became 
    a separate parish in the Isle of Ely. See also Table 2, notes (h) and (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Parson Drove,Cambridgeshire,1837,1889,"See Table 2, notes (f) and (g).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Sutton St. Edmund,Parts of Holland,1934,1935,"That part which until 1.4.1934 formed part of the parish of 
    Parson Drove. See also Table 2, note (f).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Terrington St. Clement,Norfolk,1837,1938,"See Table 2, notes (d), (e) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Terrington St. John,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney All Saints,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney St. Lawrence,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney with Islington,Norfolk,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Tilney St. 
    Lawrence and Marshland St. James.",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tydd St. Giles,Cambridgeshire,1837,1889,"See Table 2, notes (f) and (g).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tydd St. Mary,Parts of Holland,1934,1935,"That part which until 1.4.1934 formed part of the parish of 
    Tydd St. Giles. See also Table 2, note (f).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Upwell,Isle of Ely,1889,1965,"Created 1.4.1889 from the Cambridgeshire part of the parish of 
    Upwell.",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Upwell,Cambridgeshire,1837,1889,"In 1889 the Cambridgeshire part of the parish of Upwell became 
    a separate parish in the Isle of Ely. See also Table 2, notes (a), (b), 
    (h), (h) and (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walpole St. Andrew,Norfolk,1837,1938,"See Table 2, notes (d) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walpole St. Peter,Norfolk,1837,1938,"See Table 2, notes (d) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walsoken,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walsoken Hungate,Norfolk,1894,1934,"Created 1894 from the part of the parish of Emneth in Walsoken 
    Urban District. Abolished 1.4.1934 and added to the parish of Walsoken.",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Welney,Norfolk,1935,1938,"That part which until 1.4.1935 formed part of the parish of 
    Upwell. See also Table 2, note (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
West Walton,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Wisbech St. Mary,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Wisbech St. Peter,Cambridgeshire,1837,1889,"Renamed 1.4.1974 to become the parish of Wisbech. See also Table 
    2, note (j).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
