parish,county,from_year,to_year,comments,district,source_url
Abberley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Alfrick,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
All Saints,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Areley Kings,Worcestershire,1913,1933,"Abolished 1.4.1933 and divided between the parishes of Stourport 
    and Astley. See also Table 2, notes (e), (g) and (j).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Astley,Worcestershire,1913,1934,"See Table 2, notes (e), (j) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Blockhouse,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Bransford,Worcestershire,1913,1934,"See Table 2, notes (e), (k) and (o).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Broadwas,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Clifton upon Teme,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
College Precincts,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Cotheridge,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Doddenham,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Great Witley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Grimley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Hillhampton,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Holt,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Kenswick,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Knightwick,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Leigh,Worcestershire,1913,1934,"See Table 2, notes (e), (k) and (o).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Little Witley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Lower Sapey,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Lulsley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Malvern Link,Worcestershire,1933,1934,"That part which until 1.4.1933 formed parts of the parishes of 
    Bransford and Leigh. See also Table 2, note (o).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Martley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
North Hallow,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Pensax,Worcestershire,1913,1934,"See Table 2, notes (e) and (n).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Shelsley Beauchamp,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Shelsley Kings,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Shelsley Walsh,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Shrawley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
South Claines,Worcestershire,1885,1898,"Abolished 1.4.1898 and added to the parish of Worcester. 
    See also Table 2, note (e).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
South Hallow,Worcestershire,1885,1898,"Abolished 1.4.1898 and added to the parish of Worcester. 
    See also Table 2, note (d).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Alban,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Andrew,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Clement,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Helen,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. John Bedwardine,Worcestershire,1837,1894,"Abolished 1894 to become the separate parishes of St. John Bedwardine 
    City and St. John Bedwardine County.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. John Bedwardine City,Worcestershire,1894,1898,"Created 1894 from the part of the parish of St. John Bedwardine 
    in Worcester County Borough. Abolished 1.4.1898 and added to the parish 
    of Worcester.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. John Bedwardine County,Worcestershire,1894,1934,"Created 1894 from the rural part of the parish of St. John Bedwardine. 
    See also Table 2, note (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Martin,Worcestershire,1837,1894,"Abolished 1894 to become the separate parishes of St. Martin City 
    and St. Martin County.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Martin City,Worcestershire,1894,1898,"Created 1894 from the part of the parish of St. Martin in Worcester 
    County Borough. Abolished 1.4.1898 and added to the parish of Worcester.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Martin County,Worcestershire,1894,1934,"Created 1894 from the rural part of the parish of St. Martin. 
    See also Table 2, note (h).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Michael Bedwardine,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Nicholas,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Peter the Great,Worcestershire,1837,1894,"Abolished 1894 to become the separate parishes of St. Peter the 
    Great City and St. Peter the Great County. See also Table 2, notes (a) and 
    (b).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Peter the Great City,Worcestershire,1894,1898,"Created 1894 from the part of the parish of St. Peter the Great 
    in Worcester County Borough. Abolished 1.4.1898 and added to the parish 
    of Worcester.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Peter the Great County,Worcestershire,1894,1934,"Created 1894 from the rural part of the parish of St. Peter the 
    Great. See also Table 2, note (l).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
St. Swithin,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Stanford on Teme,Worcestershire,1913,1933,"Abolished 1.4.1933 and added to the parish of Stanford with 
    Orleton.",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Stanford with Orleton,Worcestershire,1933,1934,"Created 1.4.1933 out of the parishes of Stanford on Teme and Orleton. 
    See also Table 2, note (n).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Stockton on Teme,Worcestershire,1913,1934,"See Table 2, notes (e) and (n).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Stourport,Worcestershire,1933,1934,"That part which which until 1.4.1933 formed parts of the 
    parishes of Areley King's and Astley. See also Table 2, note (j).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Suckley,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Whitstones,Worcestershire,1837,1898,Abolished 1.4.1898 and added to the parish of Worcester.,Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
Wichenford,Worcestershire,1913,1934,"See Table 2, notes (e) and (k).",Worcester,http://www.ukbmd.org.uk/reg/districts/worcester.html
